1=clockwise	mantisse_flowrate	exponent_flowrate	temperature_top	temperature_bottom	temperature_spiral_middle_outlet	temperature_spiral_edge_outlet	voltage	current	European_standard_time_date	European_standard_time_of_day	time_t
1	2600	-2	79.69	71.79	29.1	33.79	16.54	0.18606	3.9.2015	15:33:06	1441294386
1	2600	-2	79.76	71.98	34.86	33.89	16.55	0.18641	3.9.2015	15:33:07	1441294387
1	2600	-2	79.52	72.28	42.58	32.91	16.54	0.18704	3.9.2015	15:33:08	1441294388
1	2600	-2	79.45	72.82	48.63	32.23	16.56	0.18548	3.9.2015	15:33:09	1441294389
1	2600	-2	79.6	72.61	54.59	32.23	16.53	0.18589	3.9.2015	15:33:11	1441294391
1	2600	-2	79.63	73.05	56.05	31.93	16.55	0.18649	3.9.2015	15:33:12	1441294392
1	2600	-2	79.62	73.28	58.59	31.74	16.52	0.18632	3.9.2015	15:33:13	1441294393
1	2600	-2	79.36	73.52	59.67	32.03	16.5	0.18686	3.9.2015	15:33:14	1441294394
1	2600	-2	79.61	73.69	60.55	31.45	16.5	0.18712	3.9.2015	15:33:15	1441294395
1	2600	-2	79.72	73.59	62.3	32.03	16.53	0.18799	3.9.2015	15:33:16	1441294396
1	2600	-2	79.38	74.04	63.09	32.42	16.5	0.18778	3.9.2015	15:33:17	1441294397
1	2600	-2	79.53	73.78	62.99	32.13	16.46	0.18627	3.9.2015	15:33:19	1441294399
1	2600	-2	79.23	73.92	63.96	32.23	16.46	0.18764	3.9.2015	15:33:20	1441294400
1	2600	-2	79.53	74.05	64.65	32.42	16.49	0.18762	3.9.2015	15:33:21	1441294401
1	2600	-2	79.3	73.91	65.33	32.13	16.48	0.18648	3.9.2015	15:33:22	1441294402
1	2600	-2	79.54	73.32	65.62	31.93	16.46	0.18637	3.9.2015	15:33:23	1441294403
1	2600	-2	79.56	73.16	64.65	31.93	16.45	0.18674	3.9.2015	15:33:24	1441294404
1	2600	-2	79.69	73.29	65.23	31.93	16.49	0.18625	3.9.2015	15:33:26	1441294406
1	2600	-2	79.49	73.46	66.02	31.84	16.49	0.18701	3.9.2015	15:33:27	1441294407
1	2600	-2	79.44	73.58	65.23	31.93	16.52	0.18644	3.9.2015	15:33:28	1441294408
1	2600	-2	79.36	74.03	66.11	31.35	16.47	0.18784	3.9.2015	15:33:29	1441294409
1	2600	-2	79.64	74.36	65.82	32.13	16.5	0.18861	3.9.2015	15:33:30	1441294410
1	2600	-2	79.56	74.79	66.31	32.23	16.51	0.18748	3.9.2015	15:33:31	1441294411
1	2600	-2	79.37	75.18	65.62	31.74	16.52	0.18849	3.9.2015	15:33:33	1441294413
1	2600	-2	79.56	75.17	66.02	31.35	16.49	0.18754	3.9.2015	15:33:34	1441294414
1	2600	-2	79.46	75.17	66.31	31.54	16.5	0.18704	3.9.2015	15:33:35	1441294415
1	2600	-2	79.6	75.64	67.38	32.03	16.52	0.18705	3.9.2015	15:33:36	1441294416
1	2600	-2	79.5	75.58	66.99	32.23	16.52	0.18727	3.9.2015	15:33:37	1441294417
1	2600	-2	79.43	75.8	67.09	32.13	16.52	0.18868	3.9.2015	15:33:38	1441294418
1	2600	-2	79.64	75.61	67.87	32.52	16.5	0.18807	3.9.2015	15:33:39	1441294419
1	2600	-2	79.3	75.37	67.58	31.84	16.49	0.18791	3.9.2015	15:33:41	1441294421
1	2600	-2	79.37	75.79	68.16	32.81	16.53	0.18791	3.9.2015	15:33:42	1441294422
1	2600	-2	79.46	75.82	68.85	32.91	16.48	0.18813	3.9.2015	15:33:43	1441294423
1	2600	-2	79.47	75.7	68.65	32.42	16.51	0.18668	3.9.2015	15:33:44	1441294424
1	2600	-2	79.45	75.67	68.95	33.2	16.49	0.18709	3.9.2015	15:33:45	1441294425
1	2600	-2	79.42	76.23	69.14	32.81	16.53	0.18816	3.9.2015	15:33:46	1441294426
1	2600	-2	79.38	76.52	69.34	33.3	16.47	0.18685	3.9.2015	15:33:48	1441294428
