temperature_bottom	temperature_top	temperature_spiral_middle_outlet	temperature_spiral_edge_outlet	voltage	current	European_standard_time_date	European_standard_time_of_day	time_t
82.56	93.86	46.88	30.18	15.85	0.19192	2.9.2015	05:16:24	1441170984
82.29	94.26	46.88	30.37	15.85	0.19115	2.9.2015	05:16:25	1441170985
82.07	93.96	49.22	30.27	15.85	0.19173	2.9.2015	05:16:26	1441170986
82.07	94.32	47.66	30.37	15.86	0.19177	2.9.2015	05:16:27	1441170987
82.32	93.9	47.95	29.79	15.82	0.19288	2.9.2015	05:16:29	1441170989
81.82	94.28	48.34	29.59	15.87	0.19227	2.9.2015	05:16:30	1441170990
82.18	94.35	49.8	30.47	15.85	0.19245	2.9.2015	05:16:31	1441170991
82.27	94.39	50.2	29.59	15.84	0.19244	2.9.2015	05:16:32	1441170992
82.39	94.32	50.2	30.47	15.86	0.19319	2.9.2015	05:16:33	1441170993
82.51	94.54	50.2	29.2	15.83	0.19134	2.9.2015	05:16:34	1441170994
82.24	94.66	50.39	29.69	15.84	0.19352	2.9.2015	05:16:36	1441170996
82.05	94.64	50.68	29.59	15.84	0.19234	2.9.2015	05:16:37	1441170997
82.37	95.03	50.68	30.96	15.85	0.19271	2.9.2015	05:16:38	1441170998
82.09	94.39	51.07	30.57	15.86	0.19318	2.9.2015	05:16:39	1441170999
82.09	95.1	50.98	30.08	15.85	0.19266	2.9.2015	05:16:40	1441171000
81.69	95.59	51.95	31.15	15.86	0.19267	2.9.2015	05:16:41	1441171001
82.62	95.33	51.27	30.47	15.84	0.19272	2.9.2015	05:16:43	1441171003
82.44	95	51.86	29.49	15.85	0.19325	2.9.2015	05:16:44	1441171004
82.07	95.43	52.15	30.18	15.85	0.1934	2.9.2015	05:16:45	1441171005
82.45	95.33	51.76	30.27	15.85	0.19307	2.9.2015	05:16:46	1441171006
82.47	95.23	52.54	29.39	15.84	0.19268	2.9.2015	05:16:47	1441171007
82.45	95.37	52.83	29.59	15.83	0.19271	2.9.2015	05:16:48	1441171008
82.68	94.95	52.83	29.2	15.86	0.19204	2.9.2015	05:16:49	1441171009
82.29	95.27	53.13	29.69	15.84	0.19314	2.9.2015	05:16:51	1441171011
82.56	95.24	53.52	29.59	15.87	0.19307	2.9.2015	05:16:52	1441171012
82.17	94.83	53.81	29.69	15.83	0.19213	2.9.2015	05:16:53	1441171013
83.09	94.75	53.81	29.79	15.85	0.1933	2.9.2015	05:16:54	1441171014
82.54	95.1	55.66	29	15.84	0.19289	2.9.2015	05:16:55	1441171015
82.77	94.94	54.69	30.27	15.84	0.1929	2.9.2015	05:16:56	1441171016
83.05	94.74	54.98	29.69	15.84	0.19202	2.9.2015	05:16:58	1441171018
83.48	94.73	54.79	29.69	15.81	0.1933	2.9.2015	05:16:59	1441171019
82.86	94.82	55.86	29.1	15.85	0.19374	2.9.2015	05:17:00	1441171020
82.65	94.51	55.37	30.08	15.83	0.1931	2.9.2015	05:17:01	1441171021
82.74	94.51	56.25	29.3	15.84	0.19276	2.9.2015	05:17:02	1441171022
82.12	94.37	56.15	29.79	15.84	0.19276	2.9.2015	05:17:03	1441171023
82.24	94.61	56.93	29.79	15.85	0.19343	2.9.2015	05:17:04	1441171024
82.45	94.56	57.52	29.39	15.85	0.19208	2.9.2015	05:17:06	1441171026
82.38	94.54	56.84	29.69	15.84	0.1929	2.9.2015	05:17:07	1441171027
82.27	94.78	57.32	29.98	15.85	0.19326	2.9.2015	05:17:08	1441171028
82	94.85	56.64	30.18	15.85	0.19258	2.9.2015	05:17:09	1441171029
81.97	95.24	57.42	29.98	15.87	0.19291	2.9.2015	05:17:10	1441171030
81.91	95.23	57.42	29.59	15.84	0.19334	2.9.2015	05:17:11	1441171031
82.14	95.33	57.71	30.27	15.86	0.19328	2.9.2015	05:17:13	1441171033
81.94	95.34	58.01	30.27	15.83	0.19273	2.9.2015	05:17:14	1441171034
82.36	95.6	57.42	29.2	15.84	0.19292	2.9.2015	05:17:15	1441171035
81.94	95.94	58.01	29.79	15.86	0.193	2.9.2015	05:17:16	1441171036
82.1	96	58.3	29.69	15.83	0.1927	2.9.2015	05:17:17	1441171037
82.08	96.15	58.5	30.76	15.86	0.19299	2.9.2015	05:17:18	1441171038
82.04	95.69	58.01	29.59	15.85	0.1924	2.9.2015	05:17:19	1441171039
82.69	95.62	58.11	28.32	15.84	0.19287	2.9.2015	05:17:21	1441171041
82.48	95.58	58.59	29.98	15.86	0.19323	2.9.2015	05:17:22	1441171042
82.43	95.82	58.3	30.18	15.84	0.19284	2.9.2015	05:17:23	1441171043
82.51	95.93	57.81	29.39	15.83	0.19235	2.9.2015	05:17:24	1441171044
82.37	95.69	58.59	29.39	15.86	0.19227	2.9.2015	05:17:25	1441171045
82.54	95.5	58.5	29.98	15.83	0.19277	2.9.2015	05:17:26	1441171046
