1=clockwise	mantisse_flowrate	exponent_flowrate	temperature_top	temperature_bottom	temperature_spiral_middle_outlet	temperature_spiral_edge_outlet	voltage	current	European_standard_time_date	European_standard_time_of_day	time_t
1	3600	-2	77.71	75.4	69.82	35.16	16.53	0.18774	3.9.2015	14:29:15	1441290555
1	3600	-2	77.64	75.01	69.73	35.64	16.52	0.18779	3.9.2015	14:29:17	1441290557
1	3600	-2	77.62	74.69	69.43	35.35	16.52	0.1877	3.9.2015	14:29:18	1441290558
1	3600	-2	77.4	75.03	69.34	35.64	16.51	0.18686	3.9.2015	14:29:19	1441290559
1	3600	-2	77.59	75.02	69.04	35.45	16.53	0.18844	3.9.2015	14:29:20	1441290560
1	3600	-2	77.33	75.06	68.85	35.35	16.5	0.18781	3.9.2015	14:29:21	1441290561
1	3600	-2	77.53	75.06	68.95	35.64	16.55	0.18783	3.9.2015	14:29:22	1441290562
1	3600	-2	77.28	74.76	68.26	35.94	16.54	0.18805	3.9.2015	14:29:23	1441290563
1	3600	-2	77.13	74.91	68.75	35.55	16.55	0.18863	3.9.2015	14:29:25	1441290565
1	3600	-2	77.38	74.51	67.87	35.55	16.53	0.18774	3.9.2015	14:29:26	1441290566
1	3600	-2	77.31	74.53	68.16	35.84	16.55	0.18695	3.9.2015	14:29:27	1441290567
1	3600	-2	76.96	74.47	67.29	35.74	16.55	0.18784	3.9.2015	14:29:28	1441290568
1	3600	-2	77.07	74.43	67.58	35.74	16.53	0.18774	3.9.2015	14:29:29	1441290569
1	3600	-2	76.96	74.32	67.58	35.94	16.56	0.18721	3.9.2015	14:29:30	1441290570
1	3600	-2	77.12	74.32	66.99	35.74	16.52	0.18842	3.9.2015	14:29:32	1441290572
1	3600	-2	76.89	73.97	66.11	36.13	16.55	0.18709	3.9.2015	14:29:33	1441290573
1	3600	-2	76.78	73.93	66.6	36.04	16.54	0.18868	3.9.2015	14:29:34	1441290574
1	3600	-2	76.45	73.66	67.38	36.33	16.53	0.18571	3.9.2015	14:29:35	1441290575
1	3600	-2	76.5	73.65	66.31	35.74	16.54	0.18726	3.9.2015	14:29:36	1441290576
1	3600	-2	76.49	73.83	66.7	36.62	16.51	0.18672	3.9.2015	14:29:37	1441290577
1	3600	-2	76.53	73.49	65.92	35.94	16.56	0.1887	3.9.2015	14:29:39	1441290579
1	3600	-2	76.36	73.17	65.53	35.74	16.53	0.18717	3.9.2015	14:29:40	1441290580
1	3600	-2	76.44	73.58	65.23	37.01	16.56	0.18776	3.9.2015	14:29:41	1441290581
